MANUFAC	MODEL	TYPE	MINPRICE	MIDPRICE	MAXPRICE	MPGCITY	MPGHIGH	AIRBAGS	DRIVETR	CYLINDR	LITERS	HPOWER	RPMMAX	US?	TYPECODE	ROW
Acura	Integra	Small	12.89999962	15.89999962	18.79999924	25	31	0	1	4	1.799999952	140	6300	0	1	1
Acura	Legend	Midsize	29.20000076	33.90000153	38.70000076	18	25	2	1	6	3.200000048	200	5500	0	3	2
Audi	90	Compact	25.89999962	29.10000038	32.29999924	20	26	1	1	6	2.799999952	172	5500	0	2	3
Audi	100	Midsize	30.79999924	37.70000076	44.59999847	19	26	2	1	6	2.799999952	172	5500	0	3	4
BMW	535i	Midsize	23.70000076	30	36.20000076	22	30	1	0	4	3.5	208	5700	0	3	5
Buick	Century	Midsize	14.19999981	15.69999981	17.29999924	22	31	1	1	4	2.200000048	110	5200	1	3	6
Buick	LeSabre	Large	19.89999962	20.79999924	21.70000076	19	28	1	1	6	3.799999952	170	4800	1	4	7
Buick	Roadmaster	Large	22.60000038	23.70000076	24.89999962	16	25	1	0	6	5.699999809	180	4000	1	4	8
Buick	Riviera	Midsize	26.29999924	26.29999924	26.29999924	19	27	1	1	6	3.799999952	170	4800	1	3	9
Cadillac	DeVille	Large	33	34.70000076	36.29999924	16	25	1	1	8	4.900000095	200	4100	1	4	10
Cadillac	Seville	Midsize	37.5	40.09999847	42.70000076	16	25	2	1	8	4.599999905	295	6000	1	3	11
Chevrolet	Cavalier	Compact	8.5	13.39999962	18.29999924	25	36	0	1	4	2.200000048	110	5200	1	2	12
Chevrolet	Corsica	Compact	11.39999962	11.39999962	11.39999962	25	34	1	1	4	2.200000048	110	5200	1	2	13
Chevrolet	Camaro	Sporty	13.39999962	15.10000038	16.79999924	19	28	2	0	6	3.400000095	160	4600	1	5	14
Chevrolet	Lumina	Midsize	13.39999962	15.89999962	18.39999962	21	29	0	1	4	2.200000048	110	5200	1	3	15
Chevrolet	Lumina_APV	Van	14.69999981	16.29999924	18	18	23	0	1	6	3.799999952	170	4800	1	6	16
Chevrolet	Astro	Van	14.69999981	16.60000038	18.60000038	15	20	0	2	6	4.300000191	165	4000	1	6	17
Chevrolet	Caprice	Large	18	18.79999924	19.60000038	17	26	1	0	8	5	170	4200	1	4	18
Chevrolet	Corvette	Sporty	34.59999847	38	41.5	17	25	1	0	8	5.699999809	300	5000	1	5	19
Chrylser	Concorde	Large	18.39999962	18.39999962	18.39999962	20	28	2	1	6	3.299999952	153	5300	1	4	20
Chrysler	LeBaron	Compact	14.5	15.80000019	17.10000038	23	28	2	1	4	3	141	5000	1	2	21
Chrysler	Imperial	Large	29.5	29.5	29.5	20	26	1	1	6	3.299999952	147	4800	1	4	22
Dodge	Colt	Small	7.900000095	9.199999809	10.60000038	29	33	0	1	4	1.5	92	6000	1	1	23
Dodge	Shadow	Small	8.399999619	11.30000019	14.19999981	23	29	1	1	4	2.200000048	93	4800	1	1	24
Dodge	Spirit	Compact	11.89999962	13.30000019	14.69999981	22	27	1	1	4	2.5	100	4800	1	2	25
Dodge	Caravan	Van	13.60000038	19	24.39999962	17	21	1	2	6	3	142	5000	1	6	26
Dodge	Dynasty	Midsize	14.80000019	15.60000038	16.39999962	21	27	1	1	4	2.5	100	4800	1	3	27
Dodge	Stealth	Sporty	18.5	25.79999924	33.09999847	18	24	1	2	6	3	300	6000	1	5	28
Eagle	Vision	Large	17.5	19.29999924	21.20000076	20	28	2	1	6	3.5	214	5800	1	4	29
Ford	Festiva	Small	6.900000095	7.400000095	7.900000095	31	33	0	1	4	1.299999952	63	5000	1	1	30
Ford	Escort	Small	8.399999619	10.10000038	11.89999962	23	30	0	1	4	1.799999952	127	6500	1	1	31
Ford	Tempo	Compact	10.39999962	11.30000019	12.19999981	22	27	0	1	4	2.299999952	96	4200	1	2	32
Ford	Mustang	Sporty	10.80000019	15.89999962	21	22	29	1	0	4	2.299999952	105	4600	1	5	33
Ford	Probe	Sporty	12.80000019	14	15.19999981	24	30	1	1	4	2	115	5500	1	5	34
Ford	Aerostar	Van	14.5	19.89999962	25.29999924	15	20	1	2	6	3	145	4800	1	6	35
Ford	Taurus	Midsize	15.60000038	20.20000076	24.79999924	21	30	1	1	6	3	140	4800	1	3	36
Ford	Crown_Victoria	Large	20.10000038	20.89999962	21.70000076	18	26	1	0	8	4.599999905	190	4200	1	4	37
Geo	Metro	Small	6.699999809	8.399999619	10	46	50	0	1	3	1	55	5700	0	1	38
Geo	Storm	Sporty	11.5	12.5	13.5	30	36	1	1	4	1.600000024	90	5400	0	5	39
Honda	Prelude	Sporty	17	19.79999924	22.70000076	24	31	2	1	4	2.299999952	160	5800	0	5	40
Honda	Civic	Small	8.399999619	12.10000038	15.80000019	42	46	1	1	4	1.5	102	5900	0	1	41
Honda	Accord	Compact	13.80000019	17.5	21.20000076	24	31	2	1	4	2.200000048	140	5600	0	2	42
Hyundai	Excel	Small	6.800000191	8	9.199999809	29	33	0	1	4	1.5	81	5500	0	1	43
Hyundai	Elantra	Small	9	10	11	22	29	0	1	4	1.799999952	124	6000	0	1	44
Hyundai	Scoupe	Sporty	9.100000381	10	11	26	34	0	1	4	1.5	92	5550	0	5	45
Hyundai	Sonata	Midsize	12.39999962	13.89999962	15.30000019	20	27	0	1	4	2	128	6000	0	3	46
Infiniti	Q45	Midsize	45.40000153	47.90000153	50.40000153	17	22	1	0	8	4.5	278	6000	0	3	47
Lexus	ES300	Midsize	27.5	28	28.39999962	18	24	1	1	6	3	185	5200	0	3	48
Lexus	SC300	Midsize	34.70000076	35.20000076	35.59999847	18	23	2	0	6	3	225	6000	0	3	49
Lincoln	Continental	Midsize	33.29999924	34.29999924	35.29999924	17	26	2	1	6	3.799999952	160	4400	1	3	50
Lincoln	Town_Car	Large	34.40000153	36.09999847	37.79999924	18	26	2	0	8	4.599999905	210	4600	1	4	51
Mazda	323	Small	7.400000095	8.300000191	9.100000381	29	37	0	1	4	1.600000024	82	5000	0	1	52
Mazda	Protege	Small	10.89999962	11.60000038	12.30000019	28	36	0	1	4	1.799999952	103	5500	0	1	53
Mazda	626	Compact	14.30000019	16.5	18.70000076	26	34	1	1	4	2.5	164	5600	0	2	54
Mazda	MPV	Van	16.60000038	19.10000038	21.70000076	18	24	0	2	6	3	155	5000	0	6	55
Mazda	RX-7	Sporty	32.5	32.5	32.5	17	25	1	0		1.299999952	255	6500	0	5	56
Mercedes-Benz	190E	Compact	29	31.89999962	34.90000153	20	29	1	0	4	2.299999952	130	5100	0	2	57
Mercedes-Benz	300E	Midsize	43.79999924	61.90000153	80	19	25	2	0	6	3.200000048	217	5500	0	3	58
Mercury	Capri	Sporty	13.30000019	14.10000038	15	23	26	1	1	4	1.600000024	100	5750	1	5	59
Mercury	Cougar	Midsize	14.89999962	14.89999962	14.89999962	19	26	0	0	6	3.799999952	140	3800	1	3	60
Mitsubishi	Mirage	Small	7.699999809	10.30000019	12.89999962	29	33	0	1	4	1.5	92	6000	0	1	61
Mitsubishi	Diamante	Midsize	22.39999962	26.10000038	29.89999962	18	24	1	1	6	3	202	6000	0	3	62
Nissan	Sentra	Small	8.699999809	11.80000019	14.89999962	29	33	1	1	4	1.600000024	110	6000	0	1	63
Nissan	Altima	Compact	13	15.69999981	18.29999924	24	30	1	1	4	2.400000095	150	5600	0	2	64
Nissan	Quest	Van	16.70000076	19.10000038	21.5	17	23	0	1	6	3	151	4800	0	6	65
Nissan	Maxima	Midsize	21	21.5	22	21	26	1	1	6	3	160	5200	0	3	66
Oldsmobile	Achieva	Compact	13	13.5	14	24	31	0	1	4	2.299999952	155	6000	1	2	67
Oldsmobile	Cutlass_Ciera	Midsize	14.19999981	16.29999924	18.39999962	23	31	1	1	4	2.200000048	110	5200	1	3	68
Oldsmobile	Silhouette	Van	19.5	19.5	19.5	18	23	0	1	6	3.799999952	170	4800	1	6	69
Oldsmobile	Eighty-Eight	Large	19.5	20.70000076	21.89999962	19	28	1	1	6	3.799999952	170	4800	1	4	70
Plymouth	Laser	Sporty	11.39999962	14.39999962	17.39999962	23	30	0	2	4	1.799999952	92	5000	1	5	71
Pontiac	LeMans	Small	8.199999809	9	9.899999619	31	41	0	1	4	1.600000024	74	5600	1	1	72
Pontiac	Sunbird	Compact	9.399999619	11.10000038	12.80000019	23	31	0	1	4	2	110	5200	1	2	73
Pontiac	Firebird	Sporty	14	17.70000076	21.39999962	19	28	2	0	6	3.400000095	160	4600	1	5	74
Pontiac	Grand_Prix	Midsize	15.39999962	18.5	21.60000038	19	27	0	1	6	3.400000095	200	5000	1	3	75
Pontiac	Bonneville	Large	19.39999962	24.39999962	29.39999962	19	28	2	1	6	3.799999952	170	4800	1	4	76
Saab	900	Compact	20.29999924	28.70000076	37.09999847	20	26	1	1	4	2.099999905	140	6000	0	2	77
Saturn	SL	Small	9.199999809	11.10000038	12.89999962	28	38	1	1	4	1.899999976	85	5000	1	1	78
Subaru	Justy	Small	7.300000191	8.399999619	9.5	33	37	0	2	3	1.200000048	73	5600	0	1	79
Subaru	Loyale	Small	10.5	10.89999962	11.30000019	25	30	0	2	4	1.799999952	90	5200	0	1	80
Subaru	Legacy	Compact	16.29999924	19.5	22.70000076	23	30	1	2	4	2.200000048	130	5600	0	2	81
Suzuki	Swift	Small	7.300000191	8.600000381	10	39	43	0	1	3	1.299999952	70	6000	0	1	82
Toyota	Tercel	Small	7.800000191	9.800000191	11.80000019	32	37	1	1	4	1.5	82	5200	0	1	83
Toyota	Celica	Sporty	14.19999981	18.39999962	22.60000038	25	32	1	1	4	2.200000048	135	5400	0	5	84
Toyota	Camry	Midsize	15.19999981	18.20000076	21.20000076	22	29	1	1	4	2.200000048	130	5400	0	3	85
Toyota	Previa	Van	18.89999962	22.70000076	26.60000038	18	22	1	2	4	2.400000095	138	5000	0	6	86
Volkswagen	Fox	Small	8.699999809	9.100000381	9.5	25	33	0	1	4	1.799999952	81	5500	0	1	87
Volkswagen	Eurovan	Van	16.60000038	19.70000076	22.70000076	17	21	0	1	5	2.5	109	4500	0	6	88
Volkswagen	Passat	Compact	17.60000038	20	22.39999962	21	30	0	1	4	2	134	5800	0	2	89
Volkswagen	Corrado	Sporty	22.89999962	23.29999924	23.70000076	18	25	0	1	6	2.799999952	178	5800	0	5	90
Volvo	240	Compact	21.79999924	22.70000076	23.5	21	28	1	0	4	2.299999952	114	5400	0	2	91
Volvo	850	Midsize	24.79999924	26.70000076	28.5	20	28	2	1	5	2.400000095	168	6200	0	3	92
